ID_REF	VALUE	ABS_CALL	Detection p-value	
260829_s_at	1510.1	P	0.000244	
260818_at	928.6	P	0.000244	
260817_at	638.6	P	0.000244	
260816_at	216.5	P	0.018555	
260815_at	2019.5	P	0.000244	
256052_at	389.7	P	0.018555	
256051_at	41.9	A	0.246094	
256066_at	84.9	A	0.246094	
256059_at	10	A	0.567627	
256050_at	692.9	P	0.008057	
256049_at	901.4	P	0.000244	
256064_at	362.4	P	0.000732	
256048_at	26.3	A	0.665527	
256055_at	280.7	P	0.008057	
256061_at	583.1	P	0.000732	
256060_at	1227.1	P	0.000244	
256047_at	9.7	A	0.466064	
256065_at	889.4	P	0.000244	
256034_at	2226.7	P	0.000244	
256062_at	366.4	P	0.001221	
256036_at	2307.5	P	0.000244	
256054_at	1.8	A	0.969727	
256063_at	28.1	A	0.466064	
256046_at	116.3	P	0.008057	
256035_at	4556.3	P	0.000244	
256045_at	45.9	A	0.149658	
256044_at	23	A	0.850342	
256067_at	413.5	P	0.000732	
256057_at	646.4	P	0.001953	
256056_at	25.9	A	0.334473	
256043_at	372.8	P	0.000244	
256042_at	227.6	P	0.005859	
256041_at	591.2	P	0.000244	
256058_at	493.2	P	0.001221	
256033_at	984.7	P	0.000732	
256053_at	37.8	A	0.366211	
256040_at	124.9	P	0.01416	
261075_at	2593.3	P	0.000244	
261074_at	28.3	A	0.398926	
261073_at	116.7	A	0.080566	
261083_at	852	P	0.000244	
261078_at	7025.9	P	0.000244	
257489_at	27.7	A	0.5	
261072_at	76.7	A	0.149658	
261081_at	460.3	P	0.000244	
261082_at	982.5	P	0.000244	
261080_at	906.5	P	0.001221	
261071_at	160.4	P	0.005859	
261070_at	167.7	P	0.018555	
261069_at	38.4	A	0.171387	
261076_at	1010.6	P	0.001221	
261077_at	103.9	P	0.018555	
261084_at	1124.1	P	0.000244	
261068_at	74	P	0.030273	
261067_at	43	A	0.432373	
261079_s_at	706.7	P	0.000244	
261066_at	3.5	A	0.904785	
261065_at	38.9	A	0.466064	
261064_at	281.7	P	0.005859	
261063_at	124.5	A	0.149658	
261062_at	318.7	P	0.030273	
261061_at	6	A	0.98584	
261091_at	44.5	P	0.046143	
261090_at	67.5	A	0.19458	
261089_at	135.4	A	0.095215	
261088_at	64.8	A	0.171387	
261438_at	22928.5	P	0.000244	
261410_at	2562.1	P	0.000977	
261435_at	91.3	A	0.129639	
261413_at	361.5	P	0.000244	
261409_at	449.8	P	0.000732	
261434_at	867.1	P	0.000244	
261433_s_at	895.4	P	0.000732	
261432_at	18.7	A	0.696289	
261466_at	10.7	A	0.870361	
261417_at	2141.9	P	0.000244	
261465_at	434.7	P	0.001221	
261420_at	313.9	P	0.00293	
261464_at	40.4	A	0.398926	
261463_at	46.1	A	0.171387	
261437_at	107.7	A	0.19458	
261415_at	693.3	P	0.000244	
261416_at	8583.7	P	0.000244	
261411_at	1230.2	P	0.000244	
261414_at	149.2	A	0.303711	
261408_s_at	975.2	P	0.000244	
261418_at	571.7	P	0.001953	
261419_at	239.8	P	0.030273	
261462_at	4.1	A	0.696289	
261461_at	3.4	A	0.80542	
261436_at	206.7	P	0.00415	
261460_at	7.3	A	0.633789	
261412_at	11345.1	P	0.000244	
260677_at	250.8	P	0.00415	
257495_at	651.6	P	0.000244	
260678_at	400	P	0.001221	
260622_at	170.2	P	0.00415	
260679_at	396	P	0.000244	
260680_s_at	187.4	P	0.008057	
260681_at	79.8	P	0.030273	
260647_at	289.7	M	0.056152	
260626_at	587.6	P	0.000244	
260648_at	175.9	A	0.129639	
260625_at	391.6	P	0.046143	
260621_at	58.7	A	0.303711	
260620_at	102.8	A	0.171387	
260649_at	86.6	A	0.466064	
260623_at	24	A	0.601074	
260624_at	3.9	A	0.932373	
260619_at	1208.8	P	0.000244	
261810_at	441.2	P	0.000244	
261816_at	70.4	P	0.037598	
261755_at	64.8	A	0.334473	
261817_at	63.4	P	0.01416	
261783_at	866.6	P	0.000244	
261757_at	388.3	P	0.00415	
261784_at	184.5	P	0.018555	
261785_at	118.2	P	0.018555	
261758_at	242.1	P	0.010742	
261811_at	132.9	P	0.00415	
261812_at	47.4	A	0.095215	
261813_at	177.5	P	0.037598	
261814_at	63.7	A	0.334473	
261756_at	238.5	P	0.000244	
261815_at	11.5	A	0.962402	
261809_at	64.2	P	0.030273	
261747_at	207.3	P	0.000244	
261694_at	4749.2	P	0.000244	
