ID_REF	VALUE	ABS_CALL	Detection p-value
261783_at	875.3	P	0.000244
261757_at	475.7	P	0.005859
261784_at	208	P	0.030273
261785_at	147.7	P	0.030273
261758_at	194.1	P	0.023926
261811_at	96	P	0.018555
261812_at	38.3	A	0.246094
261813_at	224.8	P	0.037598
261814_at	26.5	A	0.366211
261756_at	326.3	P	0.00293
261815_at	15.6	A	0.953857
261809_at	130.8	P	0.010742
261747_at	247.6	P	0.001221
261694_at	4342.2	P	0.000244
261693_at	668.2	P	0.000244
261746_at	24165.6	P	0.000244
261742_at	422.1	P	0.008057
261743_s_at	167.4	P	0.000244
257481_at	9	A	0.80542
261692_at	1481.4	P	0.000244
261720_at	827.8	P	0.000244
261696_at	590.5	P	0.00293
261721_at	1438.4	P	0.000244
261744_at	523.9	P	0.000244
261745_at	106.8	A	0.111572
261722_at	1708.6	P	0.000732
261695_at	3869.4	P	0.000244
264781_at	1134.2	P	0.000244
264799_at	2904.5	P	0.000244
264802_at	752	P	0.000244
264779_at	991.7	P	0.00415
264803_at	570.2	P	0.000732
264804_at	233.2	A	0.080566
264805_at	120.6	P	0.008057
264806_at	310.1	P	0.001953
264792_at	392.4	P	0.000244
264777_at	110.8	A	0.19458
264811_at	3177.9	P	0.000244
264783_at	843.4	P	0.010742
264793_at	460	P	0.001221
264794_at	7.4	A	0.432373
264795_at	160.3	A	0.067627
264796_at	523.9	P	0.000244
264807_at	425	P	0.000732
264797_at	109.4	A	0.067627
264780_at	320.8	P	0.010742
264798_at	110.3	A	0.171387
264810_at	886.5	P	0.000244
264808_at	542	P	0.008057
264778_at	257.4	P	0.001221
264800_at	155.2	P	0.023926
264782_at	271.7	P	0.000732
264809_at	2354.7	P	0.000244
264801_at	268.1	P	0.000732
264646_at	5.5	A	0.828613
264651_at	1359.7	P	0.000244
264654_s_at	848.3	P	0.001221
264652_at	526.5	P	0.000244
264624_at	3377.7	P	0.000244
264645_at	89.1	P	0.000244
264644_at	428.3	P	0.000244
264650_at	758.5	P	0.000732
264653_at	1646	P	0.000244
264643_at	28.5	A	0.533936
264623_at	129.1	A	0.149658
264656_at	1061.7	P	0.001221
264625_at	425.1	P	0.00293
264642_at	3.4	A	0.780518
264649_at	585.8	P	0.000732
264655_at	1872.5	P	0.008057
264648_at	29	A	0.246094
264647_at	1.8	A	0.870361
264657_at	380.4	P	0.001953
264641_at	3137.3	P	0.000244
264255_at	471.6	P	0.046143
264254_at	597.8	P	0.000244
264263_at	4.1	A	0.919434
264266_at	252.2	P	0.000732
264253_at	51.2	A	0.303711
264252_at	127	A	0.303711
264251_at	9.8	A	0.780518
264262_at	2334.6	P	0.000244
264260_at	3135.8	P	0.000244
264258_at	56.1	A	0.432373
264257_at	245.7	P	0.00415
264261_at	333.3	P	0.000732
264264_at	308.3	M	0.056152
264256_at	627.8	P	0.000244
264265_at	384.9	P	0.01416
264259_at	91.2	A	0.27417
263707_at	197.2	A	0.080566
263709_at	11466.7	P	0.000244
263708_at	154.6	P	0.00415
263710_at	1114.8	P	0.000244
263676_at	12311.5	P	0.000244
264511_at	162.1	P	0.037598
264555_at	18.1	A	0.904785
264500_at	3.5	A	0.981445
264505_at	137.5	M	0.056152
264501_at	492.7	P	0.000244
264502_at	15.7	A	0.828613
264503_at	3.3	A	0.828613
264507_at	262.4	P	0.000244
264513_at	154.4	A	0.219482
264504_at	1077.7	P	0.000244
264549_at	94.2	A	0.219482
264550_at	207.8	P	0.023926
264551_at	133.1	A	0.19458
264552_at	13.9	A	0.870361
264553_s_at	310.3	P	0.001221
264514_at	91.1	A	0.366211
264554_at	79	A	0.171387
264509_at	431.5	P	0.037598
264510_at	170.1	A	0.095215
264556_at	95.5	A	0.19458
264557_at	70.8	A	0.366211
264506_at	1252.4	P	0.000244
264508_at	673.1	P	0.000732
264512_at	86.1	A	0.398926
264558_at	67.9	A	0.095215
264559_at	36.1	A	0.219482
264705_at	1842	P	0.000244
264669_at	774.8	P	0.000244
264670_s_at	8164.6	P	0.000244
264664_at	296.7	P	0.000244
264665_at	410.4	P	0.001221
264666_at	157	A	0.171387
264679_s_at	3966.9	P	0.000244
264677_at	22	A	0.219482
264706_at	65.3	A	0.149658
264707_at	418.4	P	0.00293
264708_at	158.5	P	0.008057
264672_at	9755.9	P	0.000244
264678_at	900.5	P	0.001953
264709_at	532.4	P	0.00293
264668_at	2861.4	P	0.000244
264710_at	205.8	P	0.018555
264673_at	710.4	P	0.000244
264711_at	421.1	A	0.067627
264712_at	221.4	P	0.018555
264674_at	569.6	P	0.000244
264713_at	117.1	A	0.067627
264675_at	518.4	P	0.001953
264686_at	710.7	P	0.000244
264687_at	797.1	P	0.000244
264676_at	545.2	P	0.000244
264688_at	95.5	A	0.19458
264689_at	869.4	P	0.000244
264658_at	306	P	0.001953
264671_at	598.1	P	0.000244
264659_at	20.3	A	0.72583
264660_at	323.2	P	0.018555
264661_at	8.4	A	0.633789
264662_at	188.5	P	0.01416
264663_at	598.4	P	0.000244
264667_s_at	777.4	P	0.000244
264518_at	58.1	P	0.046143
264519_at	116.3	P	0.001221
264520_at	58.5	A	0.5
264521_at	545.3	P	0.037598
264523_at	861.8	P	0.000244
264522_at	69.5	A	0.19458
264525_at	421.9	P	0.01416
264524_at	201.5	P	0.000244
264515_at	945.1	P	0.000244
264516_at	256	P	0.005859
257417_at	83.3	A	0.432373
264517_at	209.4	A	0.111572
264526_at	333.8	P	0.001221
264467_at	252.6	P	0.00293
264463_at	543.1	P	0.000244
264459_at	247.4	P	0.046143
264460_at	336	P	0.00293
264407_at	441.1	P	0.000244
264462_at	2774	P	0.000244
264405_at	255.6	A	0.080566
264465_at	336	P	0.030273
264408_at	232	P	0.023926
264450_s_at	116.8	P	0.023926
264451_s_at	5.5	A	0.780518
264452_at	175	P	0.001953
264406_at	576.5	P	0.000244
264453_at	5.2	A	0.533936
264468_at	702.9	P	0.000244
264454_at	114	P	0.00415
264455_at	140.6	A	0.366211
264434_at	232.4	P	0.037598
264464_at	333	P	0.001953
264435_at	898.4	P	0.000244
264436_at	511.1	P	0.000244
264466_at	197.8	P	0.00293
264456_at	417.4	P	0.001953
264457_at	5.2	A	0.919434
264458_at	460.9	P	0.00293
263234_at	2.7	A	0.80542
263235_at	554.6	P	0.000244
263211_at	13.9	A	0.696289
263236_at	1929.7	P	0.008057
263208_at	102.5	M	0.056152
263255_at	588.7	P	0.00293
263256_at	2144.5	P	0.000244
263212_at	529.6	P	0.000244
263257_at	6.8	A	0.919434
263209_at	1432.5	P	0.000244
257450_at	3.7	A	0.696289
263258_at	139	M	0.056152
263207_at	18.9	A	0.366211
263259_at	140.8	A	0.246094
263260_at	220.9	P	0.023926
263261_at	349	P	0.008057
263210_at	7.3	A	0.633789
263206_at	2111.3	P	0.000244
263237_at	104.1	P	0.00293
261830_at	8.6	A	0.953857
261831_at	2785.5	P	0.000244
261834_at	392.5	P	0.023926
261832_at	326.6	P	0.001221
257477_at	337.7	P	0.000244
261833_at	3098.2	P	0.000244
261829_at	4.7	A	0.99585
262788_at	28.7	A	0.665527
262762_at	564.1	P	0.005859
262792_at	99.6	M	0.056152
262761_at	250.5	P	0.001953
262787_at	151.2	P	0.018555
262786_at	556.8	P	0.000732
262785_at	37.6	A	0.5
262784_at	4751	P	0.000244
262760_at	91.2	A	0.171387
262758_at	201.8	A	0.111572
262759_at	30.4	A	0.334473
262789_at	4.5	A	0.780518
262791_at	839.7	P	0.000244
262790_at	1389	P	0.000244
