ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
257733_at	228.8	A	0.080566	401.18	N
257726_at	61.8	A	0.567627	26.461	N
257734_at	553.3	P	0.000732	432.788	N
257727_at	444.6	P	0.0058590000000000005	404.382	N
257717_at	1336.2	P	0.000244	1427.474	N
257718_at	22.9	A	0.398926	48.222	N
257730_at	777.9	P	0.000732	870.681	N
257731_at	472.0	P	0.000244	696.578	N
257719_at	321.6	P	0.014159999999999999	253.965	N
257720_at	11.7	A	0.27416999999999997	36.015	N
257550_at	26.5	A	0.17138699999999998	52.508	N
257732_at	353.1	P	0.000244	452.536	N
257722_at	5054.3	P	0.000244	4626.182	N
257723_at	703.3	P	0.000732	964.188	N
257724_at	62.6	P	0.023926	119.835	N
257729_at	384.5	P	0.001953	309.402	N
257808_at	381.3	P	0.023926	567.959	N
257725_at	470.6	P	0.001953	284.682	N
256826_at	48.4	A	0.246094	67.384	N
256799_at	61.0	A	0.398926	78.364	N
256827_at	18.4	A	0.780518	39.931	N
256797_at	1174.0	P	0.000244	983.936	N
